Como são denominadas as regiões de um ímã onde a atração de limalha de ferro é mais intensa?	Polos magnéticos.
O que ocorre com os polos de um ímã ao ser partido em duas ou mais partes?	Cada parte constitui um novo ímã completo, pois os polos são inseparáveis.
No contexto da orientação geográfica, para onde aponta o polo norte de uma agulha magnética suspensa livremente?	Para o norte geográfico da Terra.
Qual é a lei fundamental da interação entre polos magnéticos de mesmo nome?	Polos de mesmo nome se repelem.
Qual é a lei fundamental da interação entre polos magnéticos de nomes diferentes?	Polos de nomes diferentes se atraem.
Qual é a unidade de intensidade do vetor indução magnética ($B$) no Sistema Internacional (SI)?	Tesla ($T$).
Qual é a relação de conversão entre a unidade Tesla ($T$) e a unidade Gauss ($G$)?	$1\ T = 10^4\ G$.
Externamente a um ímã, qual é o sentido convencional das linhas de indução magnética?	Saem do polo norte e chegam ao polo sul.
Como se define um campo magnético uniforme?	É aquele em que o vetor $B$ tem mesma direção, sentido e intensidade em todos os pontos.
O que as linhas de indução representam graficamente em uma região do espaço?	A variação do vetor indução magnética ($B$).
Qual experimento histórico de 1820 comprovou que a corrente elétrica gera um campo magnético?	Experimento de Oersted.
Na regra da mão direita n.º 1 para um condutor retilíneo, o polegar deve apontar para qual sentido?	Sentido da corrente elétrica ($i$).
Na regra da mão direita n.º 1, o que o sentido do fechamento dos demais dedos representa?	O sentido das linhas de indução do campo magnético.
O fator $\mu_0$ no cálculo de campos magnéticos é denominado _____.	Permeabilidade magnética do vácuo.
Qual é o valor da permeabilidade magnética do vácuo ($\mu_0$) no Sistema Internacional?	$4\pi \times 10^{-7}\ T \cdot m/A$.
De acordo com a regra do relógio, se a corrente em uma espira circular flui no sentido horário, aquela face é um polo _____.	Sul.
Como se denomina o dispositivo formado por um fio condutor enrolado em espiras iguais e igualmente espaçadas?	Solenoide (ou bobina longa).
Qual é a característica das linhas de indução no interior de um solenoide percorrido por corrente?	São retas paralelas ao eixo do solenoide, formando um campo uniforme.
Qual é a fórmula da intensidade da força magnética ($F_m$) sobre uma carga elétrica móvel?	$F_m = |q| \cdot v \cdot B \cdot \sin(\theta)$.
Sob qual condição a força magnética sobre uma carga elétrica em movimento dentro de um campo magnético é nula?	Quando a carga é lançada paralelamente às linhas de indução ($\theta = 0^\circ$ ou $180^\circ$).
Na regra da mão direita n.º 2 para cargas positivas, o que representa a palma da mão (o 'empurrão')?	O sentido da força magnética ($F_m$).
Na regra da mão direita n.º 2, se a carga elétrica for negativa, o sentido da força magnética será _____ ao indicado pela palma da mão.	Oposto.
Qual é a trajetória de uma carga lançada perpendicularmente a um campo magnético uniforme?	Movimento Circular Uniforme (MCU).
Qual é a fórmula da força magnética que atua sobre um condutor retilíneo imerso em campo magnético?	$F_m = B \cdot i \cdot L \cdot \sin(\theta)$.
O funcionamento de motores elétricos baseia-se no _____ de rotação gerado por forças magnéticas em um quadro condutor.	Binário (ou momento).
Qual componente do motor elétrico é responsável por inverter o sentido da corrente para garantir rotação contínua?	Comutador.
A força magnética entre dois fios condutores paralelos percorridos por correntes de mesmo sentido é de _____.	Atração.
A força magnética entre dois fios condutores paralelos percorridos por correntes de sentidos opostos é de _____.	Repulsão.
Como se define oficialmente 1 Ampère ($A$) no SI?	Intensidade de corrente que, em fios paralelos a 1 m de distância no vácuo, gera força de $2 \times 10^{-7}\ N$ por metro.
Qual movimento eletrônico é responsável pela criação de ímãs elementares na matéria?	Movimento orbital em torno do núcleo e rotação sobre si mesmo (spin).
Como são classificadas as substâncias cujo campo magnético resultante é ligeiramente menor que o original?	Diamagnéticas.
Como são classificadas as substâncias, como o ferro e o níquel, que aumentam enormemente a intensidade do campo magnético?	Ferromagnéticas.
O que são os domínios de Weiss em materiais ferromagnéticos?	Regiões onde os spins eletrônicos estão espontaneamente orientados em uma mesma direção.
Como se denomina um dispositivo de ferro doce enrolado por espiras que se imanta apenas com a passagem de corrente?	Eletroímã.
Qual é a definição de fluxo magnético ($\Phi$) através de uma superfície plana?	$\Phi = B \cdot A \cdot \cos(\theta)$.
Qual é a unidade de medida do fluxo magnético no Sistema Internacional?	Weber ($Wb$).
Qual é a condição necessária para que surja uma força eletromotriz (fem) induzida em um circuito?	Ocorre variação do fluxo magnético através do circuito.
Enunciado: Lei de Lenz	O sentido da corrente induzida é tal que seus efeitos se opõem à causa (variação de fluxo) que lhe deu origem.
Enunciado: Lei de Faraday-Neumann	A fem induzida média é igual à variação do fluxo magnético pelo intervalo de tempo, com sinal trocado ($\epsilon_m = -\frac{\Delta \Phi}{\Delta t}$).
Como se denomina a propriedade de um circuito que relaciona o fluxo magnético autoinduzido com a intensidade da corrente?	Indutância ($L$).
Qual é a unidade de indutância no Sistema Internacional?	Henry ($H$).
O que são as correntes de Foucault?	Correntes induzidas que circulam no interior de condutores maciços submetidos a campos magnéticos variáveis.
