Como é definido o fluxo de calor ($F$) através de uma superfície?,É a quantidade de calor transmitida por unidade de tempo ($F = \frac{Q}{\Delta t}$).
Qual é a unidade de medida do fluxo de calor no Sistema Internacional (SI)?,"O watt ($W$), que corresponde ao joule por segundo ($J/s$)."
Em que sentido o calor se propaga espontaneamente entre dois corpos?,Do corpo com maior temperatura para o corpo com menor temperatura.
Defina o processo de condução térmica.,"É a transmissão de calor através da agitação molecular e choques entre moléculas em um meio material, sem deslocamento de matéria."
Por que o vidro é considerado um isolante térmico em comparação ao ferro?,"Porque o vidro é um mau condutor de calor, demorando muito mais para transmitir a agitação molecular."
O que caracteriza o regime estacionário de condução de calor em uma barra?,"A temperatura em cada ponto da barra permanece constante no tempo, pois a quantidade de calor recebida é igual à cedida."
Qual fórmula expressa a Lei de Fourier para a condução térmica em regime estacionário?,$F = \frac{K \cdot A \cdot (\theta_2 - \theta_1)}{e}$
"Na Lei de Fourier, o que representa a constante $K$?","O coeficiente de condutibilidade térmica, que depende da natureza do material."
Como o fluxo de calor por condução varia em relação à espessura ($e$) da parede?,O fluxo é inversamente proporcional à espessura.
Por que a neve é um isolante térmico mais eficiente que o gelo compacto?,"Porque a neve compactada guarda pequenas bolsas de ar em seu interior, e o ar é um excelente isolante térmico."
Qual é a função da gordura subcutânea em animais como ursos-polares e esquimós?,Atuar como um isolante térmico eficiente para manter o calor corporal.
Por que os cabos de panelas costumam ser feitos de materiais como madeira ou plástico?,"Para atuar como isolantes térmicos, permitindo o manuseio sem queimar as mãos."
Qual é a finalidade do uso de telas metálicas em experimentos de aquecimento de vidros comuns?,"Distribuir o calor uniformemente por toda a base do recipiente, evitando tensões térmicas que rompam o vidro."
Como a Lâmpada de Davy evita explosões em minas de carvão?,"A tela metálica dissipa o calor da chama, impedindo que a temperatura externa atinja o ponto de ignição do gás metano."
Defina o mecanismo de convecção térmica.,É o transporte de energia térmica em fluidos através do movimento de massas de matéria devido a diferenças de densidade.
Em quais estados da matéria pode ocorrer o processo de convecção?,"Apenas em fluidos, que englobam líquidos e gases."
Por que o congelador de uma geladeira de uma porta deve ser posicionado na parte superior?,"Para permitir que o ar frio (mais denso) desça, criando correntes de convecção que resfriam todo o interior."
Explique a causa da brisa marítima durante o dia.,"A terra aquece mais rápido que o mar, o ar sobre a terra sobe (baixa pressão) e o ar frio do mar sopra em direção à terra."
Explique a causa da brisa terrestre durante a noite.,"A terra resfria mais rápido que o mar, o ar quente sobre o mar sobe e o ar mais frio da terra sopra em direção ao oceano."
O que ocorre no fenômeno meteorológico da inversão térmica?,"Uma camada de ar frio fica presa próxima ao solo por uma camada de ar quente superior, impedindo a convecção e a dispersão de poluentes."
Como o processo de irradiação térmica difere da condução e convecção?,"A irradiação não necessita de um meio material para ocorrer, propagando-se através de ondas eletromagnéticas."
Qual tipo de onda eletromagnética é o principal responsável pela irradiação térmica?,Os raios infravermelhos.
Defina a grandeza 'absorvidade' ($a$) de um corpo.,É a razão entre a quantidade de energia radiante absorvida ($Q_a$) e a energia incidente ($Q_i$).
"Qual é a relação matemática entre absorvidade ($a$), refletividade ($r$) e transmissividade ($t$)?",$a + r + t = 1$
O que define um 'corpo negro' na física térmica?,Um corpo ideal que absorve toda a energia radiante nele incidente ($a = 1$).
Como se comporta um 'espelho ideal' em relação à energia radiante?,"Ele possui absorvidade nula ($a = 0$) e refletividade unitária ($r = 1$), refletindo toda a radiação."
Qual é a relação entre o poder de absorção e o poder de emissão de um corpo?,Todo bom absorvedor de calor é também um bom emissor (e vice-versa).
Enuncie a Lei de Stefan-Boltzmann para o poder emissivo ($E$) de um corpo negro.,$E = \sigma \cdot T^4$ (onde $\sigma$ é a constante de Stefan-Boltzmann).
O que é a 'emissividade' ($e$) de um corpo?,É a razão entre o poder emissivo do corpo e o poder emissivo de um corpo negro à mesma temperatura.
Qual é o valor da emissividade ($e$) para um corpo negro?,$1$ (ou $100\%$).
Enuncie a Lei de Kirchhoff para a radiação.,"Numa mesma temperatura, a emissividade ($e$) e a absorvidade ($a$) de um corpo são iguais ($e = a$)."
Como a garrafa térmica minimiza as trocas de calor por condução?,Através das paredes duplas de vidro (mau condutor) e do vácuo entre elas.
Qual característica da garrafa térmica visa minimizar as perdas por irradiação?,"As faces interna e externa espelhadas, que refletem as ondas de calor de volta."
