Front,Back
"O que a experiência de Hans Christian Oersted (1820) comprovou sobre a relação entre eletricidade e magnetismo?","Que a passagem de corrente elétrica por um fio condutor produz um campo magnético ao seu redor."
"Qual é a conclusão fundamental sobre os campos magnéticos gerados por ímãs e por correntes elétricas?","Não existe diferença entre eles, pois ambos produzem os mesmos efeitos no espaço que os envolve."
"Na aplicação da regra da mão direita $n^{\circ} 1$, o que o dedo polegar deve indicar?","O sentido da corrente elétrica ($i$) que percorre o condutor."
"Escreva a fórmula da Lei de Biot-Savart para a intensidade do vetor indução magnética elementar ($\Delta B$).","$\Delta B = \frac{\mu_0}{4\pi} \frac{i \cdot \Delta L \cdot \sin \alpha}{r^2}$"
"Qual é o valor e a unidade da permeabilidade magnética do vácuo ($\mu_0$) no Sistema Internacional?","$\mu_0 = 4\pi \cdot 10^{-7} \text{ T}\cdot\text{m/A}$"
"Qual é a fórmula para calcular a intensidade do campo magnético ($B$) gerado por um condutor reto e extenso a uma distância $r$?","$B = \frac{\mu_0 \cdot i}{2\pi \cdot r}$"
"Como se calcula a intensidade do campo magnético ($B$) no centro de uma espira circular de raio $R$?","$B = \frac{\mu_0 \cdot i}{2R}$"
"Segundo a regra do relógio, qual polo magnético uma espira apresenta se a corrente flui no sentido anti-horário?","Polo norte."
"Qual é a fórmula da intensidade do campo magnético no centro de uma bobina chata com $N$ espiras iguais?","$B = N \cdot \frac{\mu_0 \cdot i}{2R}$"
"Qual é a fórmula da intensidade do campo magnético ($B$) no interior de um solenoide de comprimento $L$ e $N$ espiras?","$B = \frac{\mu_0 \cdot N \cdot i}{L}$"
