Front,Back
"Por que as ondas sonoras são incapazes de se propagar no vácuo?","Porque são ondas mecânicas que exigem um meio material elástico para sua propagação."
"Como as ondas sonoras são classificadas quanto à sua direção de propagação em fluidos como o ar?","Ondas longitudinais."
"Qual é a faixa de frequências aproximada, em $Hz$, que define o espectro sonoro audível para o ser humano?","Entre $20\ Hz$ e $20.000\ Hz$."
"As ondas sonoras com frequências abaixo de $20\ Hz$ são denominadas _____.","Infrassons"
"A qualidade fisiológica que permite ao sistema auditivo distinguir sons graves de sons agudos é a _____.","Altura"
"Qual característica física da onda sonora determina a altura do som percebido?","A frequência da onda."
"A qualidade fisiológica que permite diferenciar sons fracos de sons fortes, relacionada à amplitude da onda, é a _____.","Intensidade (ou sonoridade)"
"Termo: Timbre","Definição: Qualidade que permite distinguir sons de mesma altura e intensidade emitidos por fontes sonoras diferentes."
"De modo geral, ordene os meios material (sólidos, líquidos e gases) da maior para a menor velocidade de propagação do som.","Sólidos > Líquidos > Gases."
"Como se denomina o fenômeno em que o veículo atinge a mesma velocidade de propagação das ondas de pressão que produz?","Barreira do som."
