Uma partícula com carga elétrica negativa $q$ é lançada com velocidade $\vec{v}$ em uma região onde existe um campo magnético uniforme $\vec{B}$. Se o vetor velocidade for paralelo ao vetor indução magnética ($\\theta = 0^\\circ$ ou $180^\\circ$), qual será a intensidade da força magnética sobre a partícula?	A força magnética será nula.
Ao aplicar a Regra da Mão Direita nº 2 para determinar o sentido da força magnética sobre uma carga elétrica em movimento, qual ajuste deve ser feito caso a carga seja negativa?	Inverte-se o sentido do 'empurrão' dado pela palma da mão.
Dois fios condutores retilíneos e paralelos são percorridos por correntes elétricas de mesmo sentido. Qual é a natureza da interação magnética entre esses fios?	Força de atração.
Uma partícula de massa $m$ e carga $q$ penetra perpendicularmente em um campo magnético uniforme de intensidade $B$ com velocidade $v$. Se a intensidade do campo magnético for duplicada ($2B$), o que acontecerá com o raio $R$ da trajetória circular da partícula?	O raio será reduzido à metade.
Um condutor reto de comprimento $L = 0,20 \text{ m}$ é percorrido por uma corrente $i = 5,0 \text{ A}$ e está imerso em um campo magnético uniforme $B = 0,4 \text{ T}$. Se o fio estiver perpendicular às linhas de campo ($\\theta = 90^\\circ$), qual a intensidade da força magnética sobre ele?	$0,4 \text{ N}$
Sobre as linhas de indução de um campo magnético gerado por um ímã em forma de barra, é correto afirmar que:	Externamente ao ímã, elas saem do polo norte e chegam ao polo sul.
Em relação ao campo magnético terrestre, qual é a correspondência correta entre os polos geográficos e magnéticos da Terra?	O polo norte magnético está localizado próximo ao polo sul geográfico.
Como são classificadas as substâncias que, ao serem colocadas em um campo magnético, contribuem para um aumento extraordinário (muitas vezes maior) na intensidade do campo resultante?	Ferromagnéticas.
Um segmento de condutor de massa $40 \text{ g}$ e comprimento $20 \text{ cm}$ está suspenso em equilíbrio horizontal apenas pela força magnética que anula a força peso. Qual a condição necessária para que isso ocorra?	A força magnética deve ser vertical e voltada para cima.
A experiência de Oersted, realizada em 1820, foi fundamental para o Eletromagnetismo porque demonstrou que:	A passagem de corrente elétrica por um condutor gera um campo magnético ao seu redor.
