Qual é o nome do óxido de ferro ($Fe_3O_4$) que constitui um ímã natural?	Magnetita.
Como são denominadas as regiões de um ímã onde as propriedades magnéticas são mais intensas?	Polos magnéticos.
O que afirma a propriedade da inseparabilidade dos polos de um ímã?	É impossível separar o polo norte do polo sul; ao cortar um ímã, obtêm-se novos ímãs menores com ambos os polos.
Ao suspender um ímã horizontalmente, qual polo se volta para o norte geográfico da Terra?	Polo norte ($N$).
Qual é o comportamento de dois polos magnéticos de mesmo nome quando aproximados?	Eles se repelem.
Qual é o comportamento de dois polos magnéticos de nomes diferentes quando aproximados?	Eles se atraem.
No Sistema Internacional (SI), qual é a unidade de intensidade do vetor indução magnética $B$?	Tesla ($T$).
Qual é a relação de conversão entre as unidades Tesla ($T$) e Gauss ($G$)?	$1\ T = 10^4\ G$.
Como se define a direção do vetor campo magnético $B$ em um ponto $P$?	É a direção definida pelo eixo $NS$ de uma pequena agulha magnética colocada nesse ponto.
Como se define o sentido do vetor campo magnético $B$ em um ponto $P$?	É o sentido para o qual o polo norte ($N$) da agulha magnética aponta.
Na Regra da Mão Direita $n^o 1$, o polegar aponta no sentido de qual grandeza?	Corrente elétrica ($i$).
Na Regra da Mão Direita $n^o 1$, os demais dedos (exceto o polegar) indicam o sentido de qual grandeza?	Vetor indução magnética ($B$).
Como são as linhas de indução magnética geradas por um condutor retilíneo percorrido por corrente?	Circunferências concêntricas ao condutor, situadas em planos perpendiculares a ele.
Qual é a fórmula para a intensidade do campo magnético $B$ gerado por um condutor reto e extenso a uma distância $r$?	$B = \frac{\mu_0}{2\pi} \cdot \frac{i}{r}$.
Qual é o valor da permeabilidade magnética do vácuo ($\mu_0$) no Sistema Internacional?	$\mu_0 = 4\pi \cdot 10^{-7}\ T \cdot m/A$.
Como se determina a direção do vetor $B$ no centro de uma espira circular?	É perpendicular ao plano da espira.
De acordo com a 'regra do relógio', qual polo uma face da espira representa se a corrente circular no sentido anti-horário?	Polo norte.
De acordo com a 'regra do relógio', qual polo uma face da espira representa se a corrente circular no sentido horário?	Polo sul.
O que o símbolo $\otimes$ representa na convenção internacional de vetores?	Vetor orientado do observador para o plano (entrando no plano).
O que o símbolo $\odot$ representa na convenção internacional de vetores?	Vetor orientado do plano para o observador (saindo do plano).
Qual é a definição de um solenoide (ou bobina longa)?	Um fio condutor enrolado segundo espiras iguais, uma ao lado da outra e igualmente espaçadas.
