Qual é a fórmula da intensidade da força magnética ($F_m$) que atua sobre uma carga elétrica móvel?	$F_m = B \cdot |q| \cdot v \cdot \sin \theta$
Na fórmula $F_m = B \cdot |q| \cdot v \cdot \sin \theta$, o que representa o ângulo $\theta$?	O ângulo formado entre o vetor velocidade ($\vec{v}$) e o vetor campo magnético ($\vec{B}$).
Na Regra da Mão Direita nº 2, qual elemento físico é representado pelo dedo polegar?	O sentido do movimento da carga positiva ($\vec{v}$) ou da corrente elétrica ($i$).
Na Regra da Mão Direita nº 2, para onde devem apontar os quatro dedos (exceto o polegar)?	Na direção e sentido do vetor campo magnético ($\vec{B}$).
Segundo a Regra da Mão Direita nº 2, como se determina o sentido da força magnética para uma carga positiva?	"O sentido da força corresponde ao sentido do ""empurrão"" dado pela palma da mão."
Como o sinal de uma carga negativa altera a aplicação da Regra da Mão Direita nº 2 para a força magnética?	"O sentido da força magnética será oposto ao sentido do ""empurrão"" da palma da mão."
Qual é a condição do ângulo $\theta$ para que a força magnética sobre uma carga móvel seja nula?	Quando a velocidade é paralela ao campo magnético ($\theta = 0^\circ$ ou $\theta = 180^\circ$).
Qual é o tipo de movimento descrito por uma carga lançada paralelamente às linhas de um campo magnético uniforme?	Movimento Retilíneo Uniforme (MRU).
Qual trajetória uma carga elétrica descreve ao ser lançada perpendicularmente ($\theta = 90^\circ$) a um campo magnético uniforme?	Movimento Circular Uniforme (MCU).
No Movimento Circular Uniforme de uma carga em um campo magnético, qual força atua como a resultante centrípeta?	A força magnética ($F_m$).
Qual é a trajetória de uma carga elétrica quando sua velocidade inicial é oblíqua em relação ao campo magnético uniforme?	Movimento Helicoidal Uniforme (hélice cilíndrica).
Qual é a fórmula da força magnética que atua sobre um condutor reto percorrido por corrente elétrica?	$F_m = B \cdot i \cdot L \cdot \sin \theta$
Qual é a unidade de medida da intensidade do vetor indução magnética ($B$) no Sistema Internacional (SI)?	Tesla ($T$).
Qual é a relação de conversão entre as unidades Tesla ($T$) e Gauss ($G$)?	$1 T = 10^4 G$.
