Frente;Verso;Categoria
"O que é calor latente (Q = m L)?";"É a quantidade de energia térmica trocada por uma substância exclusivamente para mudar de estado físico, sem alterar sua temperatura.";"Conceito"
"O que caracteriza a mudança de fase de uma substância pura sob pressão constante?";"A temperatura permanece estritamente constante durante todo o processo de transição.";"Propriedades"
"Quais são os 3 modos de vaporização?";"Evaporação (lenta e à temperatura ambiente), Ebulição (rápida e turbulenta no ponto de ebulição) e Calefação (instantânea por choque térmico).";"Vaporização"
"Qual é o valor do calor latente de fusão da água (Lf)?";"80 cal/g (ou +334 kJ/kg). Para a solidificação, cede -80 cal/g.";"Valores Notáveis"
"Qual é o valor do calor latente de vaporização da água (Lv)?";"540 cal/g (ou +2260 kJ/kg). Para a liquefação, cede -540 cal/g.";"Valores Notáveis"
"Em uma curva de aquecimento, o que significam os patamares horizontais?";"Representam as mudanças de estado físico (onde convivem duas fases e a temperatura não varia).";"Gráficos"
"O que ocorre com a energia recebida durante a fusão de um sólido?";"É utilizada para romper as ligações intermoleculares da rede cristalina, aumentando a energia potencial.";"Física Molecular"
"O que é a sublimação?";"A passagem direta da fase sólida para a fase gasosa (ou vice-versa), sem passar pela fase líquida.";"Mudança de Fase"
"Qual a diferença entre calor sensível e calor latente?";"O calor sensível altera a temperatura mantendo a fase; o calor latente altera a fase mantendo a temperatura.";"Comparação"
"Durante a condensação do vapor d'água, o sistema absorve ou libera calor?";"Libera (cede) calor ao meio ambiente (Q < 0).";"Trocas Térmicas"
"Por que a queimadura por vapor a 100°C é mais grave que por água líquida a 100°C?";"Porque o vapor liberta 540 cal/g adicionais de calor latente ao se condensar sobre a pele.";"Aplicações"
"O que é a temperatura de fusão?";"A temperatura específica na qual a fase sólida e a fase líquida coexistem em equilíbrio sob determinada pressão.";"Equilíbrio"
