Uma espira condutora de área $A$ está imersa em um campo magnético uniforme de indução $B$. Se a espira for girada de uma posição onde seu plano é perpendicular às linhas de indução para uma posição onde seu plano é paralelo a elas, qual será o módulo da variação do fluxo magnético $\Delta \Phi$?	$B \cdot A$
Um transformador possui $1.000$ espiras no enrolamento primário e $2.500$ espiras no secundário. Se aplicarmos uma tensão alternada eficaz de $220\text{ V}$ no primário, qual será a tensão eficaz de saída no secundário, assumindo um transformador ideal?	$550\text{ V}$
Segundo a Lei de Lenz, qual é a função primordial do sentido da corrente elétrica induzida em um circuito fechado?	Opor-se à variação do fluxo magnético que a originou.
Uma barra metálica de comprimento $L = 0,4\text{ m}$ desloca-se com velocidade constante $v = 5\text{ m/s}$ perpendicularmente a um campo magnético uniforme de intensidade $B = 0,5\text{ T}$. Qual é o valor da força eletromotriz (fem) induzida entre as extremidades da barra?	$1,0\text{ V}$
Em um circuito de corrente alternada senoidal, a força eletromotriz instantânea é dada por $e = 100\sqrt{2} \cdot \sin(120\pi t)$ (em volts). Quais são, respectivamente, o valor eficaz da tensão e a frequência dessa corrente?	$100\text{ V}$ e $60\text{ Hz}$
Por que a transmissão de energia elétrica a longas distâncias é realizada sob tensões muito elevadas utilizando corrente alternada?	Para reduzir a intensidade da corrente e minimizar perdas por efeito Joule.
Um transformador ideal tem sua bobina primária ligada a uma bateria de $12\text{ V}$ (corrente contínua). Se o primário tem $100$ espiras e o secundário $500$ espiras, qual será a tensão medida no secundário após o sistema atingir o regime permanente?	$0\text{ V}$
Ao aproximar o polo sul de um ímã de uma espira condutora, observa-se o surgimento de uma corrente induzida. De acordo com a 'regra do relógio' e a Lei de Lenz, qual é o sentido da corrente para um observador que olha de frente para a face da espira voltada para o ímã?	Sentido horário.
O núcleo de ferro de um transformador é geralmente construído com chapas finas isoladas (laminado) em vez de um bloco maciço. Qual é o objetivo principal dessa técnica?	Minimizar as perdas de energia causadas pelas correntes de Foucault.
Qual é a unidade de medida do fluxo magnético no Sistema Internacional de Unidades (SI)?	Weber ($Wb$)
