"#","Question","Hint","Option A","Option B","Option C","Option D","Correct Answer","Rationale"
"1","De acordo com o material fornecido, por que as ondas sonoras não podem se propagar no vácuo?","Considere a classificação das ondas quanto à necessidade de um meio material.","Porque são ondas transversais que necessitam de uma superfície sólida para deslizar.","Porque a velocidade da luz no vácuo impede que o som se mova devido à interferência destrutiva.","Porque são ondas mecânicas que exigem um meio elástico para ocorrer a deformação e transporte de energia.","Porque sua frequência é muito baixa para vencer a ausência de matéria no espaço.","C. Porque são ondas mecânicas que exigem um meio elástico para ocorrer a deformação e transporte de energia.","As ondas sonoras são vibrações mecânicas que dependem da interação entre moléculas de um meio material para se propagarem."
"2","Qual é a relação geral correta entre a velocidade de propagação do som em diferentes estados físicos da matéria?","Pense na proximidade das moléculas e na intensidade das interações intermoleculares em cada estado.","vₗíqᵤᵢdₒₛ > vₛóₗᵢdₒₛ > vgₐₛₑₛ","vₛóₗᵢdₒₛ > vₗíqᵤᵢdₒₛ > vgₐₛₑₛ","A velocidade é constante em todos os meios para uma mesma temperatura absoluta.","vgₐₛₑₛ > vₗíqᵤᵢdₒₛ > vₛóₗᵢdₒₛ","B. vₛóₗᵢdₒₛ > vₗíqᵤᵢdₒₛ > vgₐₛₑₛ","Nos sólidos, as moléculas estão mais próximas e as interações moleculares são mais intensas, facilitando a rápida transmissão da vibração."
"3","A qualidade fisiológica do som que permite ao sistema auditivo humano diferenciar um som grave de um som agudo é chamada de:","Esta qualidade está diretamente relacionada à frequência da fonte sonora.","Timbre","Intensidade","Amplitude","Altura","D. Altura","A altura depende exclusivamente da frequência da onda sonora: frequências altas são agudas e frequências baixas são graves."
"4","Se um instrumento musical emite um som com intensidade física I = 10⁻⁶ W/m², qual será o nível de intensidade sonora em decibéis, considerando o limiar de audibilidade I₀ = 10⁻¹² W/m²?","Use a fórmula β = 10 · log₁₀((I)/(I₀)) e as propriedades de potências de 10.","10 dB","60 dB","6 dB","120 dB","B. 60 dB","Aplicando β = 10 · log₁₀(frac10⁻⁶10⁻¹²), temos 10 · log₁₀(10⁶) = 10 · 6 = 60."
"5","O que define o 'timbre' de um som emitido por um instrumento musical?","Pense no que nos permite distinguir um piano de uma guitarra tocando a mesma nota.","A superposição do som fundamental com diversos harmônicos, que define o formato da onda.","Apenas a frequência do som fundamental emitido pela corda vibrante.","A energia total transportada pela onda sonora por unidade de área.","A velocidade com que a onda se propaga no ar ambiente.","A. A superposição do som fundamental com diversos harmônicos, que define o formato da onda.","O timbre é a 'cor' do som, resultante da combinação de frequências múltiplas que formam a onda complexa."
"6","Como o aumento da temperatura em um gás ideal afeta a velocidade de propagação das ondas sonoras?","Analise a relação matemática entre velocidade e a temperatura absoluta T mencionada no texto.","Aumenta a velocidade, pois incrementa a agitação molecular e facilita a propagação da onda longitudinal.","A velocidade permanece constante, pois depende apenas da pressão do gás.","Diminui a velocidade, pois o gás se torna menos denso e oferece menos partículas para o choque.","A velocidade diminui porque o som perde energia mais rapidamente em meios quentes.","A. Aumenta a velocidade, pois incrementa a agitação molecular e facilita a propagação da onda longitudinal.","A fórmula v = √(K · T) demonstra que a velocidade é diretamente proporcional à raiz quadrada da temperatura absoluta."
"7","Um som com frequência de 25.000 Hz é classificado como:","Lembre-se dos limites convencionais da audição humana (20 Hz a 20.000 Hz).","Som audível","Som hipersônico","Ultrassom","Infrassom","C. Ultrassom","Sons com frequências superiores a 20.000 Hz são denominados ultrassons."
"8","O fenômeno conhecido como 'barreira do som' ocorre quando um veículo:","Relacione o fenômeno ao número de Mach e ao acúmulo de frentes de onda.","Emite sons com intensidade superior ao limiar da dor (1 W/m²).","Atinge a velocidade Mach 1 e acompanha as ondas de pressão que ele próprio produz.","Ultrapassa a velocidade da luz no meio aéreo.","Entra em ressonância com a frequência fundamental do ar atmosférico.","B. Atinge a velocidade Mach 1 e acompanha as ondas de pressão que ele próprio produz.","Nesse ponto, ocorre um acúmulo de ondas no nariz do veículo, criando uma zona de alta pressão difícil de ultrapassar."
"9","De acordo com as propriedades discutidas, por que as ondas sonoras não podem ser polarizadas?","Considere a direção da vibração das partículas em relação à direção de propagação do som.","Porque sua frequência varia constantemente conforme o meio.","Porque elas perdem muita energia ao encontrar obstáculos sólidos.","Porque sua velocidade é muito inferior à da luz.","Porque não são ondas transversais.","D. Porque não são ondas transversais.","A polarização é uma propriedade exclusiva de ondas transversais; o som em fluidos é uma onda longitudinal."
"10","Ao pressionar uma corda de guitarra exatamente na metade de seu comprimento, o que acontece com o som emitido?","Lembre-se da relação de proporcionalidade entre o comprimento da corda e a frequência emitida.","A intensidade sonora aumenta devido ao menor percurso da onda.","A frequência dobra, produzindo um som uma oitava acima.","A frequência cai pela metade, tornando o som mais grave.","O timbre do som muda para o de um piano devido à alta tensão.","B. A frequência dobra, produzindo um som uma oitava acima.","A frequência do som fundamental é inversamente proporcional ao comprimento da corda vibrante."
