"正面（问题）","背面（答案）"
"Qual é a função da limalha de ferro no mapeamento do espectro magnético?","Visualizar as linhas de indução ao se alinharem com o campo magnético."
"O que a Experiência de Oersted comprovou sobre a relação entre eletricidade e magnetismo?","Que uma corrente elétrica circulando em um condutor gera um campo magnético ao seu redor."
"Na reprodução da Experiência de Oersted, qual deve ser a posição inicial da bússola em relação ao fio condutor?","A agulha magnética deve estar posicionada paralelamente ao fio."
"Qual é a expressão matemática da Lei de Ampère para a circulação do vetor indução magnética?","$C(\vec{B}) = \mu_0 \cdot \sum i$"
"Como é caracterizado o campo magnético no interior de um solenoide percorrido por corrente?","O campo é praticamente uniforme e suas linhas de indução são paralelas ao seu eixo geométrico."
"Qual é a fórmula para calcular o módulo do campo magnético no interior de um solenoide ideal?","$B = \mu_0 \cdot \frac{N}{L} \cdot i$"
"Em um mapeamento de solenoide, o que define as extremidades como polos norte ou sul?","O sentido da corrente elétrica, determinado pela regra da mão direita $n^o$ 1."
"Para utilizar a Lei de Ampère em condutores com simetria cilíndrica, qual formato de percurso fechado é geralmente escolhido?","Uma circunferência centrada no condutor e perpendicular a ele."
"Qual regra prática permite determinar o sentido das linhas de indução em torno de um fio reto?","Regra da mão direita $n^o$ 1 (polegar no sentido da corrente)."
"Por que a agulha de uma bússola sofre deflexão quando colocada perpendicularmente abaixo de um fio com corrente?","Pela interação entre o campo magnético da agulha e o campo gerado pela corrente elétrica."
"O que afirma o princípio da inseparabilidade dos polos de um ímã?","É impossível isolar um único polo magnético; ao partir um ímã, novos polos norte e sul surgem nas metades."
"Qual é o sentido das linhas de indução magnética na região externa de um ímã?","Elas emergem do polo norte e entram no polo sul."
"Qual é a unidade de medida do vetor indução magnética $\vec{B}$ no Sistema Internacional?","Tesla ($T$)"
"Como se define um campo magnético uniforme?","Aquele onde o vetor $\vec{B}$ possui mesma direção, sentido e intensidade em todos os pontos."
"O que representa a declinação magnética terrestre?","O ângulo formado entre a direção do Norte Geográfico e a direção indicada pelo Norte Magnético."
"Termo: Lei de Biot-Savart","Definição: Lei fundamental que permite calcular o campo magnético gerado por um elemento de corrente em um ponto do espaço."
"Qual é a fórmula do campo magnético gerado por um fio retilíneo e longo a uma distância $r$?","$B = \frac{\mu_0 \cdot i}{2 \cdot \pi \cdot r}$"
"No centro de uma espira circular de raio $R$, qual é o módulo do campo magnético?","$B = \frac{\mu_0 \cdot i}{2 \cdot R}$"
"Qual é o valor da permeabilidade magnética do vácuo $\mu_0$ no SI?","$4 \cdot \pi \cdot 10^{-7} \, T \cdot m/A$"
"Pela Regra do Relógio, uma face de espira com corrente no sentido horário é um polo _____.","Sul"
"O que representam os símbolos $\odot$ e $\otimes$ em diagramas de vetores?","$\odot$ indica um vetor saindo do plano (para o observador) e $\otimes$ indica um vetor entrando no plano."
"Qual é a fórmula da força magnética (Força de Lorentz) sobre uma carga móvel?","$F_m = |q| \cdot v \cdot B \cdot \sin \theta$"
"Na regra da mão direita $n^o$ 2 para força magnética, o que representa a palma da mão para uma carga positiva?","O sentido da força magnética (o ""empurrão"")."
"Qual é a trajetória de uma carga elétrica lançada perpendicularmente a um campo magnético uniforme?","Movimento Circular Uniforme ($MCU$)."
"Sob qual condição a força magnética sobre uma carga em movimento dentro de um campo $\vec{B}$ é nula?","Quando a velocidade $v$ é paralela às linhas de indução ($\theta = 0^o$ ou $180^o$)."
"Qual é a fórmula da força magnética que atua sobre um condutor retilíneo de comprimento $L$?","$F_m = B \cdot i \cdot L \cdot \sin \theta$"
"Dois fios paralelos percorridos por correntes de mesmo sentido sofrem uma força magnética de _____.","Atração"
"Como se definem as substâncias ferromagnéticas?","Materiais que aumentam intensamente o campo magnético resultante em seu interior, como o ferro e o cobalto."
"O que caracteriza o comportamento de uma substância diamagnética?","Ela enfraquece levemente o campo magnético resultante em relação ao campo externo aplicado."
"O que são os Domínios de Weiss?","Regiões microscópicas em materiais ferromagnéticos onde os momentos magnéticos atômicos estão alinhados espontaneamente."
"Qual é a definição de Fluxo Magnético $\Phi$ através de uma superfície?","O produto da indução magnética pela área e pelo cosseno do ângulo entre o campo e a normal: $\Phi = B \cdot A \cdot \cos \theta$."
"Qual é a unidade de medida do fluxo magnético no Sistema Internacional?","Weber ($Wb$)"
"O que enuncia a Lei de Lenz sobre o sentido da corrente induzida?","O sentido da corrente induzida é tal que o campo magnético por ela criado se opõe à variação do fluxo que a originou."
"Qual é a expressão da Lei de Faraday-Neumann para a força eletromotriz induzida média?","$\epsilon = - \frac{\Delta \Phi}{\Delta t}$"
"O que afirma a Lei de Felici sobre a carga elétrica total escoada em um processo de indução?","A carga escoada depende apenas da variação do fluxo magnético e da resistência do circuito: $\Delta q = \frac{|\Delta \Phi|}{R}$."
"Como se define o Valor Eficaz ($i_{ef}$ ou $U_{ef}$) de uma grandeza alternada?","O valor de uma corrente ou tensão contínua que dissiparia a mesma energia em um resistor no mesmo intervalo de tempo."
"Qual é a relação entre o valor máximo ($U_{max}$) e o valor eficaz ($U_{ef}$) para uma tensão senoidal?","$U_{ef} = \frac{U_{max}}{\sqrt{2}}$"
"Qual é a função básica de um transformador?","Modificar valores de tensão e corrente alternada mantendo a frequência constante."
"Qual é a relação fundamental entre tensões e número de espiras em um transformador ideal?","$\frac{U_p}{U_s} = \frac{N_p}{N_s}$"
"Por que transformadores operam exclusivamente com corrente alternada ($CA$)?","Porque dependem da variação temporal do fluxo magnético para induzir tensão no secundário."
"O que são as Correntes de Foucault?","Correntes induzidas em massas metálicas condutoras sujeitas a campos magnéticos variáveis, gerando perdas por efeito Joule."
"Como se minimizam as perdas por Correntes de Foucault nos núcleos de transformadores?","Construindo o núcleo com lâminas delgadas isoladas umas das outras."
"O que define a pulsação $\omega$ de uma corrente alternada?","$\omega = 2 \cdot \pi \cdot f$ (onde $f$ é a frequência em Hertz)."
"Qual é a frequência padrão da energia elétrica distribuída comercialmente no Brasil?","$60 \, Hz$"
"Como funciona um detector de metais manual baseado na lei de Faraday?","A variação de fluxo gerada pela aproximação de um metal induz correntes no objeto, que criam um campo alterando o sinal de referência."
"O que é um Eletroímã?","Um dispositivo formado por um núcleo de ferro envolto por uma bobina que se imanta apenas quando percorrido por corrente elétrica."
"Qual é a principal diferença entre um Alternador e um Dínamo?","O alternador gera corrente alternada senoidal, enquanto o dínamo gera corrente contínua retificada por um comutador."
"O que acontece com o magnetismo de um material ferromagnético ao atingir a Temperatura de Curie?","O material perde suas propriedades ferromagnéticas e passa a se comportar como paramagnético."
"Qual é a característica do campo magnético resultante em um ponto P entre dois fios com correntes de sentidos opostos?","Os campos gerados por cada fio se somam vetorialmente no mesmo sentido naquele ponto."
"O que é a Inclinação Magnética?","O ângulo que o vetor indução magnética terrestre $\vec{B}_t$ forma com a horizontal em um determinado ponto da superfície."
"Qual é o mineral conhecido como ímã natural?","Magnetita ($Fe_3O_4$)."
