O que a Termodinâmica estuda essencialmente?,As relações entre as quantidades de calor trocadas e os trabalhos realizados em um processo físico.
"No contexto da Termodinâmica, o que é definido como 'meio exterior'?",O resto do Universo que interage com o sistema de corpos em estudo.
Como a temperatura influencia a transferência de calor por condução?,"Determina o sentido da propagação, das regiões de maior temperatura para as de menor temperatura."
Qual é a principal distinção entre trabalho e calor quanto à causa da transferência de energia?,O trabalho ocorre sem a influência de diferenças de temperatura.
Defina 'trabalho externo' em um sistema termodinâmico.,O trabalho realizado quando o sistema como um todo produz um deslocamento ao agir com uma força sobre o meio exterior.
O que caracteriza o 'trabalho interno' em um gás?,O trabalho executado pelas forças de interação entre as moléculas de uma parte do sistema sobre outra do mesmo sistema.
"No estudo da Termodinâmica, qual tipo de trabalho é habitualmente considerado nas equações?",O trabalho externo.
Qual é a fórmula para o trabalho ($D$) realizado por um gás em uma transformação isobárica?,$D = p \cdot \Delta V$
"Em uma expansão gasosa, qual é o sinal algébrico do trabalho ($D$)?",Positivo ($D > 0$).
"Em uma compressão gasosa, qual é o sinal algébrico do trabalho ($D$)?",Negativo ($D < 0$).
O que significa dizer que o trabalho é uma grandeza algébrica na Termodinâmica?,Que seu sinal depende do sentido da variação de volume (expansão ou compressão).
"Em um diagrama $p \times V$, como o trabalho realizado é representado geometricamente?",Pela área sob a curva representativa da transformação e o eixo do volume.
O trabalho realizado em uma transformação termodinâmica depende apenas dos estados inicial e final?,"Não, depende também dos estados intermediários (o caminho da transformação)."
De que parcelas é composta a energia total de um sistema?,Energia externa (cinética e potencial) e energia interna.
O que constitui a 'energia interna' ($U$) de um gás?,"Energias térmica, potencial de configuração, cinéticas atômico-moleculares e movimentos intra-atômicos."
Qual lei afirma que a energia interna de um gás ideal depende apenas de sua temperatura?,Lei de Joule.
É possível medir diretamente a energia interna ($U$) absoluta de um sistema?,"Não, mede-se apenas a sua variação ($\Delta U$)."
"Em mudanças de estado físico (agregação), a energia interna pode variar com temperatura constante?","Sim, devido ao recebimento ou perda de calor latente."
Enuncie a Primeira Lei da Termodinâmica.,A variação da energia interna de um sistema é a diferença entre o calor trocado e o trabalho realizado ($\Delta U = Q - D$).
A Primeira Lei da Termodinâmica é uma aplicação de qual princípio universal?,Princípio da conservação da energia.
"Na Primeira Lei, se o sistema recebe calor, qual o sinal de $Q$?",Positivo ($Q > 0$).
"Na Primeira Lei, se o sistema cede calor ao meio, qual o sinal de $Q$?",Negativo ($Q < 0$).
